,precision,recall,f1-score,support
Covid (Class 0),0.2774725274725275,0.27900552486187846,0.278236914600551,724.0
Normal (Class 1),0.7434889434889435,0.7420304070622854,0.7427589592538046,2039.0
accuracy,0.6207021353601159,0.6207021353601159,0.6207021353601159,0.6207021353601159
macro avg,0.5104807354807355,0.510517965962082,0.5104979369271778,2763.0
weighted avg,0.6213767881520323,0.6207021353601159,0.6210383800540378,2763.0
