,precision,recall,f1-score,support
Covid (Class 0),0.28917378917378916,0.2803867403314917,0.2847124824684432,724.0
Normal (Class 1),0.7472100921882582,0.7552721922511035,0.7512195121951221,2039.0
accuracy,0.6308360477741585,0.6308360477741585,0.6308360477741585,0.6308360477741585
macro avg,0.5181919406810237,0.5178294662912977,0.5179659973317826,2763.0
weighted avg,0.6271889979492153,0.6308360477741585,0.6289787993749572,2763.0
