,precision,recall,f1-score,support
Covid (Class 0),0.2868217054263566,0.255524861878453,0.2702702702702703,724.0
Normal (Class 1),0.7455146364494807,0.7743992153016185,0.7596824633148906,2039.0
accuracy,0.6384364820846905,0.6384364820846905,0.6384364820846905,0.6384364820846905
macro avg,0.5161681709379187,0.5149620385900358,0.5149763667925804,2763.0
weighted avg,0.6253214833330342,0.6384364820846905,0.6314398184490545,2763.0
